profile_id,record_id,scene,stability_pass,spectral_gate_pass,valid_window_count,invalid_window_count,prominence_db_delta_median,visible_top3_rate_delta,hr_band_share_delta_median,pulse_power_retention_median,residual_artifact_corr_delta_median,complete_window_evidence_pass,hr_band_share_delta_pass,prominence_db_delta_pass,pulse_power_retention_pass,residual_artifact_corr_delta_pass,visible_top3_rate_delta_pass,identity_sha256,result_sha256
p25-long-mid,jianpan1_LYX_0708,jianpan,True,False,165,0,-1.094299735381414,-0.012121212121212121,-0.09956190532809872,0.8596864331403451,-0.07413123702913824,True,False,False,True,True,True,26a5b85fe3a3217a6d699bd08ea21a9b50d98eff2ba9f173108e77c1a27ba8df,731f464103433d37e1317a06c00ffb45a9cacea631c28420d3c013265d2c1563
p25-long-mid,jianpan2_LYX_0708,jianpan,True,False,166,0,-0.4622213966839408,0.012048192771084338,-0.05732813744232246,0.8860559064724088,-0.08708700976828664,True,False,True,True,True,True,fc5a1af9be3ae1d6520ef0079efb75000ba7db4d1949cb2069c965d9173288bd,95a72ef9cfae986b77e8793166234a9a2891fad658f9717d36a4c60203bba59f
p25-long-mid,jianpan3_LYX_0708,jianpan,True,False,172,0,-0.030932997344238655,0.0,-0.037006699968953755,0.9609696478231049,-0.12075099980729401,True,False,True,True,True,True,eccc760278ceca4019921e0c748943d5928241c6244dd12b1e0c333d1248dd0b,4f1580ebfb7036f71de4d0ec891d2b9f4ba218c9c428f09b232584989a3adb8d
p25-long-mid,kaihe1_LYX_0613,kaihe,True,True,199,0,0.39636382190861097,0.03015075376884422,-0.01895352354411206,0.9680947732407287,-0.09648030505572437,True,True,True,True,True,True,ab35c4daa32f5b0078c089f3455e4b2e33689a9935a37b697291da2bc6c39691,b367fe2b1623e2adbb27b1b474429bf57372def29d99329ed4efc6a7f0658b5f
p25-long-mid,kaihe1_LYX_0617,kaihe,True,False,201,0,0.07170849510523691,0.004975124378109453,-0.03391179793073096,0.9410389085225989,-0.07704338251919494,True,False,True,True,True,True,3bf15f6068dcc35f46efbdfafcab303abe7c644571dac3a93468efc4ed278ae1,4095c3409375c56d4b7561ab36ff303ad87c96e4adb463a095c0a79a8d622330
p25-long-mid,kaihe3_LYX_0613,kaihe,True,False,201,0,0.30575634683823516,-0.04477611940298507,-0.030231206994796922,0.9840263184471875,-0.09095756980548479,True,False,True,True,True,True,510b6b1b978bf768fa7092a369e6010117e2c82ac22363ef2580f9dfe0c665b3,8c0d463753399195fb020f7b6ca7c3f6110e5f84d02f5274069d10002a9600d0
p25-long-mid,run1_LYX_0708,run,True,True,226,0,2.1528137631335094,0.048672566371681415,0.046057266939467684,1.2988079909367527,-0.030360985506725113,True,True,True,True,True,True,54da76ac498a1766d7dc72b97d8a9a32a6a8c6f88324e320196ee13bbeb016e2,08115cdb443c65b1d389483b8381e3311a5862c8e47944fb9b4f50e3d0588cce
p25-long-mid,run2_LYX_0708,run,True,True,228,0,0.2289076386202169,-0.013157894736842105,0.009266886211146616,1.0255671887079103,-0.12774155421307187,True,True,True,True,True,True,e4e631a687d0f740985b847074bef040fefcf9adde70d31e896ffadd3689f6e0,1ac63d98364e73b531a31daeb1b3757265c1471cace1d2953b052ed0184b5540
p25-long-mid,run3_LYX_0708,run,True,False,316,0,-0.20989930095554454,-0.015822784810126583,-0.031661172706063445,0.9573415939865406,-0.060163018392692835,True,False,True,True,True,True,df545dafb478b7fc09019ff303385e19c68f429014f07a545d28cd7975d339a7,65e6bea2ee9c26b3a9a49b710c4a174b342f223a984f7f924ec8d395dfd3ea60
p25-long-mid,xiezi2_LYX_0708,xiezi,True,False,164,0,-0.509384952344325,0.018292682926829267,-0.06845596249607594,0.9334308996738481,-0.035739883805457985,True,False,False,True,True,True,c72362c1b58e25fcce1540e5872298d53898ed621f17bd98f56cf31c964bd5bf,e4b680bed753087221ee45ba2b1fef73e8ac0559f8a2374d3cead6a5520bdb65
p25-long-mid,xiezi3_LYX_0708,xiezi,True,False,166,0,-0.7227804593850142,0.0,-0.06875202885155096,0.9176083558599247,-0.02568024162362347,True,False,False,True,True,True,a9e1fcc0f4dd082192b732deacb27b42131fd3caf655d42ef11b4793e01ce568,502c119a5d8e403b86d90a9839651a9e3d9f1ff67a4c1b6db0305f5bf057369e
p25-long-mid,xiezi4_LYX_0708,xiezi,True,False,165,0,-0.41337859645818575,-0.012121212121212121,-0.034494826126212436,0.9201569357151625,-0.03039772730252177,True,False,True,True,True,True,e133955a608924fcdda587b02b993e237da330921aafcb7f1a01b10d0364704a,04c71fa9a753400c6252b8aaacbc48ee4203ea09fa610e3c0a1c2a3acc47d7b5
