t_center_s,t_pred_s,ref_bpm,final_bpm,pure_fft_bpm,motion_flag,segment
50.0,51.5,58.0,56.7626953125,56.7626953125,0,pre_rest
51.0,52.5,57.76354951187545,56.57958984375,56.57958984375,0,pre_rest
52.0,53.5,57.26354951187546,56.57958984375,56.57958984375,0,pre_rest
53.0,54.5,57.0,56.57958984375,56.57958984375,1,motion
54.0,55.5,57.0,56.396484375,56.7626953125,1,motion
55.0,56.5,57.0,56.396484375,56.7626953125,1,motion
56.0,57.5,57.0,56.0302734375,56.7626953125,1,motion
57.0,58.5,57.0,54.5654296875,56.94580078125,1,motion
58.0,59.5,57.46617610641384,53.28369140625,56.94580078125,1,motion
59.0,60.5,58.942968229801174,52.3681640625,56.94580078125,1,motion
60.0,61.5,61.65715280166147,51.26953125,56.94580078125,1,motion
61.0,62.5,65.33955111755135,50.9033203125,56.94580078125,1,motion
62.0,63.5,69.71038600074048,50.9033203125,56.94580078125,1,motion
63.0,64.5,74.5239283057942,50.9033203125,56.94580078125,1,motion
64.0,65.5,77.93948425434043,50.9033203125,56.94580078125,1,motion
65.0,66.5,79.4667515100095,50.9033203125,56.94580078125,1,motion
66.0,67.5,80.23635108235757,50.9033203125,56.94580078125,1,motion
67.0,68.5,80.73635108235759,50.9033203125,56.94580078125,1,motion
68.0,69.5,81.46197253623679,50.9033203125,56.94580078125,1,motion
69.0,70.5,82.68967554810934,50.9033203125,56.94580078125,1,motion
70.0,71.5,84.19439338154861,50.9033203125,56.94580078125,1,motion
71.0,72.5,86.18187929049647,50.9033203125,57.12890625,1,motion
72.0,73.5,88.6876291017038,50.9033203125,59.81884765625,1,motion
73.0,74.5,90.93893360707412,50.9033203125,63.81884765625,1,motion
74.0,75.5,92.94325566633366,50.9033203125,67.81884765625,1,motion
75.0,76.5,94.7127700581586,50.9033203125,71.81884765625,1,motion
76.0,77.5,95.9621556209556,50.9033203125,75.81884765625,1,motion
77.0,78.5,96.95636723514966,50.9033203125,79.81884765625,1,motion
78.0,79.5,97.96649920870227,50.9033203125,83.81884765625,1,motion
79.0,80.5,98.96960250328311,50.9033203125,87.81884765624999,1,motion
80.0,81.5,99.73332272679062,50.9033203125,91.81884765624999,1,motion
81.0,82.5,100.23627167134508,50.9033203125,95.81884765624999,1,motion
82.0,83.5,100.96949857619599,50.9033203125,99.81884765624999,1,motion
83.0,84.5,101.9640862928444,50.9033203125,103.81884765624999,1,motion
84.0,85.5,103.18617029242435,50.9033203125,107.81884765624999,1,motion
