case_name,trial_idx,mode,hr_range_rest_bpm,slew_limit_rest_bpm,slew_step_rest_bpm,smooth_win_len,time_bias_s,objective,rest_all_mae,pre_rest_mae,post_rest_mae,pure_fft_rest_all_mae,pure_fft_pre_rest_mae,pure_fft_post_rest_mae,n_rest_all,n_pre_rest,n_post_rest,passed
multi_tiaosheng3,48,post_recovery_blend,20.0,4.0,12.0,15,-1.5,4.532879501285842,3.696349495195812,2.4576416015625,4.532879501285842,3.696349495195812,2.4576416015625,4.532879501285842,129,52,77,False
multi_tiaosheng3,49,post_recovery_blend,10.0,8.0,8.0,21,20.0,34.477995637175326,23.382456698158915,6.952524038461539,34.477995637175326,23.382456698158915,6.952524038461539,34.477995637175326,129,52,77,False
multi_tiaosheng3,50,post_motion_slew,15.0,5.0,12.0,15,-1.5,4.24920416497565,3.3090385023013567,1.9168701171875002,4.24920416497565,3.3090385023013567,1.9168701171875002,4.24920416497565,129,52,77,False
multi_tiaosheng3,51,post_recovery_blend,80.0,6.0,10.0,31,2.5,4.907238635938783,3.57674306539563,1.6065861628605769,4.907238635938783,3.57674306539563,1.6065861628605769,4.907238635938783,129,52,77,False
multi_tiaosheng3,52,post_recovery_blend,15.0,5.0,12.0,31,-1.5,3.6230852958980058,2.8998230787530734,1.8288386418269234,3.6230852958980058,2.8998230787530734,1.8288386418269234,3.6230852958980058,129,52,77,False
multi_tiaosheng3,53,post_recovery_blend,15.0,5.0,15.0,41,-1.5,3.5944076642900913,2.802508066209008,1.6298875075120196,3.5944076642900913,2.802508066209008,1.6298875075120196,3.5944076642900913,129,52,77,False
multi_tiaosheng3,54,post_motion_slew,20.0,3.0,15.0,41,-2.5,6.720037286931818,5.0871903766957365,2.6693209134615383,6.720037286931818,5.0871903766957365,2.6693209134615383,6.720037286931818,129,52,77,False
multi_tiaosheng3,55,post_recovery_blend,10.0,4.0,15.0,21,20.0,26.831603398735687,23.75144792259805,19.190448467548077,26.831603398735687,23.75144792259805,19.190448467548077,26.831603398735687,129,52,77,False
multi_tiaosheng3,56,post_recovery_blend,20.0,6.0,15.0,41,-0.5,4.966131867692155,3.556340203365667,1.468764085036058,4.966131867692155,3.556340203365667,1.468764085036058,4.966131867692155,129,52,77,False
multi_tiaosheng3,57,post_motion_slew,15.0,10.0,10.0,21,-1.5,4.363836115056818,3.35759031310562,1.867572490985577,4.363836115056818,3.35759031310562,1.867572490985577,4.363836115056818,129,52,77,False
multi_tiaosheng3,58,post_recovery_blend,20.0,6.0,8.0,31,-0.5,5.022547376224068,3.6149793750039008,1.530695988581731,5.022547376224068,3.6149793750039008,1.530695988581731,5.022547376224068,129,52,77,False
multi_tiaosheng3,59,post_motion_slew,10.0,4.0,12.0,15,19.5,9.370120358157468,7.645422647165698,5.091543344350962,9.370120358157468,7.645422647165698,5.091543344350962,9.370120358157468,129,52,77,False
multi_tiaosheng3,60,post_recovery_blend,15.0,8.0,10.0,41,-1.5,3.6551358036815786,2.799701715787648,1.5330012394831734,3.6551358036815786,2.799701715787648,1.5330012394831734,3.6551358036815786,129,52,77,False
multi_tiaosheng3,61,post_recovery_blend,20.0,5.0,15.0,21,-2.5,4.675857287516872,3.5120972278201488,1.788837139423077,4.675857287516872,3.5120972278201488,1.788837139423077,4.675857287516872,129,52,77,False
multi_tiaosheng3,62,post_recovery_blend,15.0,5.0,12.0,31,-1.5,3.6230852958980058,2.8998230787530734,1.8288386418269234,3.6230852958980058,2.8998230787530734,1.8288386418269234,3.6230852958980058,129,52,77,False
multi_tiaosheng3,63,post_recovery_blend,15.0,4.0,12.0,31,-1.5,3.7328307017743296,2.8879715144554132,1.6369300255408656,3.7328307017743296,2.8879715144554132,1.6369300255408656,3.7328307017743296,129,52,77,False
multi_tiaosheng3,64,post_motion_slew,10.0,2.0,10.0,41,20.0,34.32834060470779,22.408193662185077,4.75720684344952,34.32834060470779,22.408193662185077,4.75720684344952,34.32834060470779,129,52,77,False
multi_tiaosheng3,65,post_recovery_blend,15.0,6.0,12.0,31,-1.5,3.6230852958980058,2.8998230787530734,1.8288386418269234,3.6230852958980058,2.8998230787530734,1.8288386418269234,3.6230852958980058,129,52,77,False
multi_tiaosheng3,66,post_recovery_blend,10.0,5.0,15.0,21,20.0,19.313490411055053,14.33077528411813,6.952524038461539,19.313490411055053,14.33077528411813,6.952524038461539,19.313490411055053,129,52,77,False
multi_tiaosheng3,67,post_motion_slew,20.0,3.0,8.0,15,-1.5,5.460388976258118,4.007863599200581,1.857008713942308,5.460388976258118,4.007863599200581,1.857008713942308,5.460388976258118,129,52,77,False
