Time(s),Uc1(mV),Uc2(mV),Ut1(mV),Ut2(mV),AccX(g),AccY(g),AccZ(g),GyroX(dps),GyroY(dps),GyroZ(dps),PPG_Green,PPG_Red,PPG_IR
0.214,874.4812,957.03125,1686.78284,1843.64319,-0.06665,-0.05835,0.99905,-1.89,0.315,0.035,6379,55155,79979
0.214,874.4812,957.03125,1687.16431,1843.71948,-0.06458,-0.05896,0.99832,-1.768,0.193,0.228,6379,55158,79983
0.214,874.4812,957.03125,1686.85913,1843.79578,-0.06372,-0.06104,0.99905,-1.61,0.315,0.315,6379,55158,79983
0.214,874.4812,957.10754,1686.93542,1843.79578,-0.06384,-0.05933,0.99747,-1.575,0.28,0.263,6382,55158,79983
0.214,874.4812,957.10754,1687.08801,1843.71948,-0.06519,-0.05847,0.99869,-1.243,0.333,0.368,6382,55158,79983
0.214,874.4812,957.10754,1686.85913,1843.71948,-0.06531,-0.05835,0.99966,-1.173,0.35,0.368,6387,55159,79988
0.214,874.4812,957.10754,1686.85913,1843.71948,-0.06726,-0.05603,1.00089,-1.26,0.438,0.035,6387,55159,79988
0.214,874.4812,957.10754,1687.92725,1843.87207,-0.06751,-0.05725,0.99783,-1.19,0.245,-0.035,6385,55160,79992
0.214,874.40491,957.10754,1686.85913,1844.02466,-0.06531,-0.05957,0.99625,-1.138,0.315,0.053,6385,55160,79992
0.214,874.40491,957.10754,1686.78284,1843.79578,-0.06482,-0.05884,0.99747,-1.313,0.245,-0.018,6387,55164,79995
0.214,874.40491,957.10754,1687.16431,1843.87207,-0.06494,-0.0586,0.99734,-1.155,0.28,0.14,6387,55164,79995
0.214,874.40491,957.10754,1686.78284,1843.94836,-0.06299,-0.05786,0.99686,-1.313,0.35,0.438,6394,55163,80000
0.214,874.40491,957.10754,1686.85913,1843.79578,-0.06275,-0.05579,0.99771,-1.435,0.28,0.21,6394,55163,80000
0.214,874.40491,957.26013,1687.01172,1843.71948,-0.0647,-0.05652,0.99942,-1.26,0.35,0.438,6394,55163,80005
0.214,874.40491,957.26013,1686.63025,1843.79578,-0.06482,-0.05615,1.00113,-1.418,0.385,0.333,6394,55163,80005
0.214,874.40491,957.26013,1686.85913,1843.87207,-0.06531,-0.0586,1.00003,-1.54,0.333,0.21,6398,55165,80009
0.214,874.40491,957.26013,1687.08801,1844.02466,-0.0658,-0.05823,0.9993,-1.488,0.368,0.315,6398,55165,80009
0.214,874.40491,957.26013,1686.85913,1844.02466,-0.06494,-0.05664,0.99612,-1.26,0.385,0.455,6398,55162,80012
0.214,874.25232,957.26013,1686.93542,1843.56689,-0.06568,-0.05652,0.99857,-1.295,0.228,0.368,6398,55162,80012
0.214,874.25232,957.26013,1687.08801,1843.87207,-0.06677,-0.05615,0.99893,-1.383,0.35,0.35,6400,55168,80017
0.214,874.25232,957.26013,1686.85913,1843.87207,-0.06775,-0.0575,0.99844,-1.698,0.455,0.175,6400,55168,80017
0.214,874.25232,957.26013,1686.78284,1843.87207,-0.06677,-0.05799,0.99747,-1.663,0.333,0.158,6406,55167,80023
0.214,874.25232,957.26013,1687.2406,1843.94836,-0.06568,-0.0603,0.99747,-1.75,0.315,0.49,6406,55167,80023
0.214,874.25232,957.26013,1686.93542,1843.79578,-0.06507,-0.06018,0.99796,-1.628,0.385,0.28,6409,55166,80023
0.214,874.25232,957.26013,1686.55396,1843.94836,-0.06568,-0.05957,0.99991,-1.628,0.403,0.193,6409,55166,80023
0.214,874.25232,957.26013,1687.01172,1843.87207,-0.06592,-0.06091,0.99942,-1.68,0.42,0.175,6409,55165,80032
0.214,874.25232,957.26013,1686.70654,1843.87207,-0.06641,-0.05847,0.99942,-1.453,0.438,0.35,6409,55165,80032
0.214,874.25232,957.26013,1686.78284,1843.79578,-0.06446,-0.05799,0.99686,-1.348,0.315,0.28,6412,55168,80030
0.214,874.32861,957.26013,1686.78284,1843.94836,-0.06433,-0.05591,0.99869,-1.47,0.245,-0.035,6412,55168,80030
0.214,874.32861,957.26013,1686.78284,1844.17725,-0.06702,-0.05481,1.00064,-1.733,0.28,0.0,6415,55170,80038
0.214,874.32861,957.26013,1686.78284,1843.64319,-0.06787,-0.05518,1.00027,-1.96,0.298,0.175,6415,55170,80038
0.214,874.32861,957.26013,1687.69836,1843.87207,-0.06665,-0.06006,0.99588,-1.89,0.42,0.193,6417,55168,80042
0.214,874.32861,957.26013,1686.78284,1843.71948,-0.0647,-0.06323,0.99649,-1.943,0.245,0.315,6417,55168,80042
0.214,874.32861,957.33643,1686.55396,1843.79578,-0.06543,-0.06079,0.99918,-1.855,0.438,0.368,6419,55166,80042
0.214,874.32861,957.33643,1686.93542,1843.56689,-0.06958,-0.05579,0.99942,-1.925,0.718,0.123,6419,55166,80042
0.214,874.32861,957.33643,1686.85913,1843.71948,-0.07068,-0.0542,0.99918,-2.118,0.648,-0.105,6419,55166,80042
0.214,874.32861,957.33643,1686.78284,1844.10095,-0.068,-0.05506,0.99429,-2.293,0.385,0.07,6423,55169,80049
0.214,874.32861,957.33643,1687.46948,1843.71948,-0.06336,-0.05237,0.99295,-2.59,0.193,0.175,6423,55169,80049
0.214,874.32861,957.33643,1686.85913,1843.87207,-0.06177,-0.0564,1.00064,-3.343,0.49,0.455,6429,55169,80047
0.214,874.32861,957.33643,1686.55396,1843.87207,-0.06372,-0.06055,1.00308,-3.693,0.525,0.42,6429,55169,80047
0.214,874.32861,957.33643,1687.85095,1843.94836,-0.06262,-0.06372,1.00101,-3.605,0.525,0.455,6428,55168,80058
0.214,874.32861,957.33643,1686.85913,1843.71948,-0.06153,-0.06458,0.99588,-3.483,0.403,0.525,6428,55168,80058
0.214,874.32861,957.33643,1686.78284,1843.79578,-0.06165,-0.06384,0.9921,-2.993,0.385,0.298,6431,55172,80061
0.214,874.32861,957.48901,1687.16431,1843.79578,-0.06677,-0.05445,0.99503,-3.99,0.91,0.298,6434,55167,80058
0.214,874.32861,957.48901,1686.40137,1843.87207,-0.06421,-0.05554,1.00027,-4.48,0.7,0.438,6434,55167,80058
0.214,874.32861,957.48901,1686.63025,1843.87207,-0.06275,-0.05933,1.00137,-4.883,0.543,0.788,6434,55167,80058
0.214,874.32861,957.48901,1686.93542,1843.87207,-0.06323,-0.0603,1.00284,-5.11,0.525,1.12,6437,55170,80066
1.459,874.32861,957.48901,1686.70654,1843.87207,-0.06189,-0.05811,0.99857,-4.918,0.718,1.313,6437,55170,80066
1.459,874.25232,957.48901,1686.70654,1843.79578,-0.06128,-0.05774,0.99649,-4.445,0.77,1.715,6438,55166,80063
1.459,874.25232,957.48901,1686.63025,1843.87207,-0.06629,-0.0575,0.99771,-4.62,0.963,1.715,6438,55166,80063
1.459,874.25232,957.48901,1686.55396,1843.79578,-0.07129,-0.0647,0.99991,-4.97,1.033,1.418,6443,55171,80072
1.459,874.25232,957.48901,1686.63025,1844.25354,-0.07666,-0.07056,0.99783,-5.565,1.033,1.453,6443,55171,80072
1.459,874.25232,957.48901,1687.39319,1843.79578,-0.07434,-0.07691,0.99295,-5.775,0.788,1.418,6443,55171,80076
1.459,874.25232,957.18384,1686.78284,1843.79578,-0.06641,-0.07935,0.99857,-4.69,0.315,1.208,6444,55169,80066
1.459,874.25232,957.18384,1686.32507,1843.71948,-0.06677,-0.07544,1.00333,-4.147,0.49,0.84,6444,55169,80066
1.459,874.25232,957.18384,1686.78284,1843.71948,-0.06995,-0.0752,1.00369,-4.183,0.77,0.508,6444,55169,80066
1.459,874.25232,957.18384,1686.70654,1843.71948,-0.07227,-0.07959,1.00113,-4.113,0.7,0.245,6435,55165,80048
1.459,874.25232,957.18384,1686.70654,1843.87207,-0.07019,-0.08362,0.99783,-3.745,0.473,0.333,6435,55165,80048
1.459,874.4812,957.18384,1686.85913,1843.79578,-0.06775,-0.07996,0.99808,-2.783,0.298,-0.525,6428,55159,80034
1.459,874.4812,957.18384,1686.55396,1843.71948,-0.06775,-0.07581,0.99808,-2.398,0.28,-0.858,6428,55159,80034
1.459,874.4812,957.18384,1686.78284,1843.71948,-0.07019,-0.07227,0.99771,-2.45,0.368,-1.138,6424,55158,80021
1.459,874.4812,957.18384,1687.01172,1843.87207,-0.06824,-0.07532,0.99661,-2.573,0.385,-1.365,6424,55158,80021
1.459,874.4812,957.18384,1686.78284,1843.71948,-0.07007,-0.07801,0.99747,-2.765,0.333,-1.698,6414,55156,80009
1.459,874.4812,957.26013,1686.70654,1843.87207,-0.06848,-0.07984,0.99661,-2.678,0.35,-1.978,6410,55156,80003
1.459,874.4812,957.26013,1687.01172,1843.64319,-0.06848,-0.08008,0.99551,-2.275,0.175,-2.048,6410,55156,80003
1.459,874.4812,957.26013,1686.78284,1843.71948,-0.06775,-0.07666,0.99442,-1.978,0.245,-2.275,6410,55156,80003
1.459,874.4812,957.26013,1686.85913,1843.71948,-0.06604,-0.073,0.99698,-2.013,0.385,-2.433,6408,55149,80001
1.459,874.4812,957.26013,1687.08801,1843.79578,-0.06653,-0.0697,0.99808,-2.205,0.42,-2.328,6408,55149,80001
1.459,874.25232,957.26013,1686.85913,1843.71948,-0.06641,-0.06738,0.9982,-2.293,0.333,-2.223,6404,55151,79995
1.459,874.25232,957.26013,1686.47766,1843.79578,-0.06311,-0.06397,0.99637,-2.538,0.333,-2.328,6404,55151,79995
1.459,874.25232,957.26013,1687.01172,1843.87207,-0.05847,-0.06494,0.99991,-2.468,0.228,-1.348,6401,55147,79988
1.459,874.25232,957.26013,1686.70654,1844.02466,-0.05945,-0.0636,0.99954,-2.66,0.473,-1.313,6401,55147,79988
1.459,874.25232,957.26013,1686.78284,1843.87207,-0.06275,-0.06372,1.00027,-2.8,0.595,-1.033,6401,55149,79986
1.459,874.25232,957.33643,1687.01172,1843.64319,-0.06311,-0.06592,0.99759,-2.958,0.665,-0.718,6401,55149,79986
1.459,874.25232,957.33643,1686.55396,1843.87207,-0.06433,-0.06616,0.99673,-3.133,0.63,-0.053,6402,55149,79989
1.459,874.25232,957.33643,1686.70654,1843.87207,-0.06311,-0.06189,0.99588,-3.85,0.718,0.823,6402,55149,79989
1.459,874.25232,957.33643,1687.01172,1843.94836,-0.06336,-0.06384,0.99564,-4.428,0.7,0.998,6403,55147,79992
1.459,874.25232,957.33643,1686.70654,1843.87207,-0.06446,-0.068,0.99747,-5.005,0.77,1.418,6403,55147,79992
1.459,874.17603,957.33643,1686.78284,1843.71948,-0.06384,-0.07178,0.99844,-5.32,0.665,1.838,6400,55149,79999
1.459,874.17603,957.33643,1686.78284,1843.71948,-0.06482,-0.07508,0.99857,-5.355,0.788,2.118,6400,55149,79999
1.459,874.17603,957.33643,1686.63025,1843.71948,-0.06519,-0.07581,0.99979,-5.093,0.875,2.363,6402,55149,80000
1.459,874.17603,957.33643,1686.70654,1843.71948,-0.06641,-0.07593,0.996,-4.865,1.103,2.31,6402,55149,80000
1.459,874.17603,957.33643,1687.2406,1843.4906,-0.06702,-0.07471,0.99783,-5.04,0.928,2.555,6400,55147,80002
1.459,874.17603,957.18384,1686.78284,1843.71948,-0.06665,-0.07727,0.99649,-5.233,0.91,2.573,6400,55147,80002
1.459,874.17603,957.18384,1686.63025,1843.56689,-0.06482,-0.07703,0.99832,-5.425,0.84,2.695,6399,55148,80002
1.459,874.17603,957.18384,1687.16431,1843.79578,-0.06726,-0.08313,0.9971,-5.443,0.928,2.958,6399,55148,80002
1.459,874.17603,957.18384,1686.70654,1843.56689,-0.06751,-0.08692,0.99466,-5.32,0.963,2.923,6398,55149,80000
1.459,874.17603,957.18384,1686.78284,1843.41431,-0.06787,-0.08496,0.99588,-5.128,1.05,2.923,6398,55149,80000
1.459,874.63379,957.18384,1686.93542,1843.64319,-0.06909,-0.08252,0.99966,-5.198,1.068,2.783,6399,55148,80003
1.459,874.63379,957.18384,1686.47766,1843.64319,-0.07129,-0.08789,0.99832,-5.303,0.91,2.695,6399,55148,80003
1.459,874.63379,957.18384,1686.78284,1843.64319,-0.07215,-0.08985,0.99844,-5.583,0.91,2.66,6399,55145,80002
1.459,874.63379,957.18384,1687.08801,1843.64319,-0.0719,-0.0929,0.99588,-5.005,0.945,2.258,6399,55145,80002
1.459,874.63379,957.18384,1686.93542,1843.64319,-0.07263,-0.09424,0.9949,-4.585,0.998,2.345,6398,55146,80003
1.459,874.63379,957.26013,1686.78284,1843.71948,-0.07093,-0.09253,0.9971,-4.813,0.823,1.925,6398,55146,80003
1.459,874.63379,957.26013,1687.54578,1843.87207,-0.07093,-0.09632,0.99905,-4.918,0.525,1.855,6396,55147,80002
1.459,874.63379,957.26013,1686.78284,1843.71948,-0.0708,-0.09961,0.99954,-4.515,0.543,1.82,6396,55147,80002
1.459,874.63379,957.26013,1686.63025,1843.71948,-0.06909,-0.09375,0.9971,-2.45,0.438,1.4,6401,55146,80007
1.459,874.63379,957.26013,1687.08801,1843.79578,-0.0669,-0.08753,0.9971,-2.275,0.455,0.998,6401,55146,80007
1.459,874.09973,957.26013,1686.85913,1843.71948,-0.06446,-0.08899,0.99637,-2.573,0.42,0.928,6403,55145,80011
1.459,874.09973,957.26013,1686.47766,1843.64319,-0.06848,-0.094,0.99722,-3.045,0.7,0.84,6403,55145,80011
1.459,874.09973,957.26013,1686.78284,1843.41431,-0.0697,-0.09827,0.99698,-3.045,0.735,0.683,6403,55148,80019
1.459,874.09973,957.26013,1686.55396,1843.4906,-0.07349,-0.09876,0.99747,-2.083,0.648,0.105,6403,55148,80019
1.459,874.09973,957.26013,1686.70654,1843.4906,-0.07337,-0.09705,0.99771,-1.488,0.613,-0.228,6404,55146,80016
1.459,874.09973,957.10754,1686.85913,1843.4906,-0.07361,-0.09583,0.99881,-0.91,0.42,-0.42,6404,55146,80016
1.459,874.09973,957.10754,1686.55396,1843.56689,-0.07227,-0.09265,0.99698,-0.578,0.245,-0.333,6407,55146,80022
1.459,874.09973,957.10754,1686.55396,1843.4906,-0.07044,-0.09107,0.9971,-0.315,0.105,-0.368,6407,55146,80022
1.459,874.09973,957.10754,1687.01172,1843.64319,-0.06702,-0.08936,0.99637,-0.193,0.07,-0.525,6407,55150,80025
1.459,874.09973,957.10754,1686.78284,1843.64319,-0.068,-0.08924,0.99686,-0.228,0.088,-0.455,6407,55150,80025
1.459,874.25232,957.10754,1686.70654,1843.64319,-0.06861,-0.09046,0.99979,-0.245,0.053,-0.613,6409,55148,80028
1.459,874.25232,957.10754,1686.78284,1843.56689,-0.06665,-0.0896,0.99796,-0.21,0.088,-0.63,6409,55148,80028
1.459,874.25232,957.10754,1686.70654,1843.71948,-0.06726,-0.09046,0.99808,-0.158,0.123,-0.735,6412,55150,80030
1.459,874.25232,957.10754,1686.63025,1843.4906,-0.06848,-0.09009,0.99771,0.018,0.123,-0.508,6412,55150,80030
1.459,874.25232,957.10754,1687.08801,1843.4906,-0.06885,-0.08985,0.99588,0.14,0.175,-0.56,6414,55150,80037
1.459,874.25232,957.10754,1686.78284,1843.64319,-0.06763,-0.08911,0.99576,0.088,0.07,-0.578,6414,55150,80037
1.459,874.25232,957.10754,1686.70654,1843.56689,-0.07068,-0.0896,0.99771,0.07,0.07,-0.595,6416,55152,80039
